"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","501","Изменение имени пользователя без авторизации","","Fri Aug 16 01:59:53 MSK 2024","passed","Fri Aug 16 01:59:54 MSK 2024","","ChangeUserDataWithoutAuthTest","ChangeUserDataWithoutAuthTest","editUsersNameWithoutAuth"
"","1692","Проверка создания заказа без авторизации","","Fri Aug 16 01:59:59 MSK 2024","passed","Fri Aug 16 02:00:00 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrderWithoutAuth"
"","539","Изменение почты пользователя без авторизации","","Fri Aug 16 01:59:53 MSK 2024","passed","Fri Aug 16 01:59:53 MSK 2024","","ChangeUserDataWithoutAuthTest","ChangeUserDataWithoutAuthTest","editUsersEmailWithoutAuth"
"","840","Создание уникального пользователя","","Fri Aug 16 02:00:03 MSK 2024","passed","Fri Aug 16 02:00:04 MSK 2024","","CreateUserTest","CreateUserTest","createUser"
"","487","Создание пользователя без одного из обязательных полей","","Fri Aug 16 02:00:02 MSK 2024","passed","Fri Aug 16 02:00:02 MSK 2024","","CreateUserNegativeParamTest","CreateUserNegativeParamTest","CreateUserWithoutField[0]"
"","1059","Логин под существующим пользователем","","Fri Aug 16 02:00:09 MSK 2024","passed","Fri Aug 16 02:00:10 MSK 2024","","LoginTest","LoginTest","loginUser"
"","448","Логин с неверным логином и паролем","","Fri Aug 16 02:00:08 MSK 2024","passed","Fri Aug 16 02:00:09 MSK 2024","","LoginNegativeParamTest","LoginNegativeParamTest","LoginUserWithoutField[0]"
"","1299","Проверка получения заказов не авторизованного пользователя","","Fri Aug 16 02:00:07 MSK 2024","passed","Fri Aug 16 02:00:08 MSK 2024","","GetOrderTest","GetOrderTest","getOrderWithoutAuth"
"","1650","Изменение почты пользователя с авторизацией","","Fri Aug 16 01:59:51 MSK 2024","passed","Fri Aug 16 01:59:53 MSK 2024","","ChangeUserDataWithAuthTest","ChangeUserDataWithAuthTest","ChangeUserEmail"
"","500","Создание пользователя без одного из обязательных полей","","Fri Aug 16 02:00:02 MSK 2024","passed","Fri Aug 16 02:00:03 MSK 2024","","CreateUserNegativeParamTest","CreateUserNegativeParamTest","CreateUserWithoutField[1]"
"","1682","Проверка создания заказа без ингредиентов","","Fri Aug 16 02:00:00 MSK 2024","passed","Fri Aug 16 02:00:02 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrderWithoutIngredient"
"","4004","Изменение имени пользователя с авторизацией","","Fri Aug 16 01:59:47 MSK 2024","passed","Fri Aug 16 01:59:51 MSK 2024","","ChangeUserDataWithAuthTest","ChangeUserDataWithAuthTest","ChangeUserName"
"","501","Создание пользователя без одного из обязательных полей","","Fri Aug 16 02:00:03 MSK 2024","passed","Fri Aug 16 02:00:03 MSK 2024","","CreateUserNegativeParamTest","CreateUserNegativeParamTest","CreateUserWithoutField[2]"
"","1726","Проверка создания заказа с неверным хешем ингредиентов","","Fri Aug 16 01:59:57 MSK 2024","passed","Fri Aug 16 01:59:59 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrderWithIncorrectIngredient"
"","1545","Проверка получения заказов авторизованного пользователя","","Fri Aug 16 02:00:05 MSK 2024","passed","Fri Aug 16 02:00:07 MSK 2024","","GetOrderTest","GetOrderTest","getOrdersAuth"
"","1049","Создание пользователя, который уже зарегистрирован","","Fri Aug 16 02:00:04 MSK 2024","passed","Fri Aug 16 02:00:05 MSK 2024","","DuplicateUserTest","DuplicateUserTest","duplicateUser"
"","3036","Проверка создания заказа с авторизацией и с ингредиентами","","Fri Aug 16 01:59:54 MSK 2024","passed","Fri Aug 16 01:59:57 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrderWithAuthAndIngredient"
"","438","Логин с неверным логином и паролем","","Fri Aug 16 02:00:09 MSK 2024","passed","Fri Aug 16 02:00:09 MSK 2024","","LoginNegativeParamTest","LoginNegativeParamTest","LoginUserWithoutField[1]"
